category,model,name,title,image,price,description,properties
Ванная,Цветочные узоры,06710 дизайн - панели PANDA «Цветочные узоры»,06710 дизайн - панели PANDA «Цветочные узоры»,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/21f/21f84c0a8d7b54acc69656e77812fcb6.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5f7/5f72a73d59ee91e57cc86bfc3408a464.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/bf6/bf6c50c738faa31c9c5b0a146f181f41.jpg",1784,,"Высота---2,7 м|Ширина---0,25 м|Толщина---8 мм|Площадь---0,675 кв.м.|Упаковка---12 шт|Объем упаковки---0,077 куб. м.|Вес упаковки---15,7 кг."
Ванная,Цветочные узоры,06720 дизайн - панели PANDA «Цветочные узоры»,06720 дизайн - панели PANDA «Цветочные узоры»,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/b79/b79a252960f6344b5c4d0d9c3da296bd.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5f7/5f72a73d59ee91e57cc86bfc3408a464.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/bf6/bf6c50c738faa31c9c5b0a146f181f41.jpg",1784,,"Высота---2,7 м|Ширина---0,25 м|Толщина---8 мм|Площадь---0,675 кв.м.|Упаковка---12 шт|Объем упаковки---0,077 куб. м.|Вес упаковки---15,7 кг."
Ванная,Цветочные узоры,06730 дизайн - панели PANDA «Цветочные узоры»,06730 дизайн - панели PANDA «Цветочные узоры»,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/3b9/3b925293e6ce5cbe95647aa93642bb08.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5f7/5f72a73d59ee91e57cc86bfc3408a464.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/bf6/bf6c50c738faa31c9c5b0a146f181f41.jpg",1784,,"Высота---2,7 м|Ширина---0,25 м|Толщина---8 мм|Площадь---0,675 кв.м.|Упаковка---12 шт|Объем упаковки---0,077 куб. м.|Вес упаковки---15,7 кг."
Ванная,Цветочные узоры,06740 дизайн - панели PANDA «Цветочные узоры»,06740 дизайн - панели PANDA «Цветочные узоры»,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/c14/c14cb69d8e38a69be0b07a45c26be343.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5f7/5f72a73d59ee91e57cc86bfc3408a464.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/bf6/bf6c50c738faa31c9c5b0a146f181f41.jpg",1784,,"Высота---2,7 м|Ширина---0,25 м|Толщина---8 мм|Площадь---0,675 кв.м.|Упаковка---12 шт|Объем упаковки---0,077 куб. м.|Вес упаковки---15,7 кг."
Ванная,Цветочные узоры,06750 дизайн - панели PANDA «Цветочные узоры»,06750 дизайн - панели PANDA «Цветочные узоры»,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/3cd/3cdcbdea910c55dac68b2c3340b412df.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5f7/5f72a73d59ee91e57cc86bfc3408a464.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/bf6/bf6c50c738faa31c9c5b0a146f181f41.jpg",1784,,"Высота---2,7 м|Ширина---0,25 м|Толщина---8 мм|Площадь---0,675 кв.м.|Упаковка---12 шт|Объем упаковки---0,077 куб. м.|Вес упаковки---15,7 кг."
Ванная,Всплеск эмоций,Всплеск эмоций,Всплеск эмоций,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/364/36471f820f96f6c05caa0cfdb3a0ba0a.jpg,1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7м|Ширина---0,25м|Толщина---8 мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7кг"
Ванная,Грация,04810 дизайн-панели PANDA Грация,04810 дизайн-панели PANDA Грация,"https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/252/2521aeab62a11fb264d37730b075779c.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5ba/5baf336183e1d74aa50767ab46f41a45.png,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/ab9/ab9295f1fb95c0aa1a10ba7d9a033c11.jpg",1784,,"Высота---2,7м|Ширина---0,25м|Толщина---8мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Вечер в Голландии,"06310 дизайн-панели PANDA ""Вечер в Голландии""","06310 дизайн-панели PANDA ""Вечер в Голландии""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/4e1/4e14cdf9aed6b9b3286a46c0580c50ab.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/5b8/5b8ea5889c952d6c6d6173c60c81c56f.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/fad/fadbfa015affc474f3334fa463c07610.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7 м.|Ширина---0,25 м.|Толщина---8 мм.|Площадь---0,675 кв.м.|Упаковка---12 шт.|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7 кг."
Ванная,Всплеск эмоций,"05410 Дизайн - панели PANDA ""Всплеск эмоций""","05410 Дизайн - панели PANDA ""Всплеск эмоций""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/da6/da65d07c0eceb63fb7e4cb6216715e5a.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/8ef/8ef15940d6669f2e0a66fff56f030e43.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/364/36471f820f96f6c05caa0cfdb3a0ba0a.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7м|Ширина---0,25м|Толщина---8 мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7кг"
Ванная,Всплеск эмоций,"05430 Дизайн - панели PANDA ""Всплеск эмоций""","05430 Дизайн - панели PANDA ""Всплеск эмоций""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/e0b/e0bb1ed43ff8961d4a1ef2c534ec37e7.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/8ef/8ef15940d6669f2e0a66fff56f030e43.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/364/36471f820f96f6c05caa0cfdb3a0ba0a.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7м|Ширина---0,25м|Толщина---8 мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7кг"
Ванная,Всплеск эмоций,"05440 Дизайн - панели PANDA ""Всплеск эмоций""","05440 Дизайн - панели PANDA ""Всплеск эмоций""","https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/3dd/3dd84a223da56d1721ffd6b31c4e6507.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/8ef/8ef15940d6669f2e0a66fff56f030e43.jpg,https://www.panda-panel.ru/https://www.panda-panel.ru/upload/iblock/364/36471f820f96f6c05caa0cfdb3a0ba0a.jpg",1784,"Рисунок формируется из отдельных панелей. Рассчитайте количество панелей, необходимое для вашего помещения. Для правильного подбора панелей в комплект, без нарушения рисунка – обратитесь за консультацией к нашему менеджеру.","Высота---2,7м|Ширина---0,25м|Толщина---8 мм|Площадь---0,675 кв.м|Упаковка---12 шт|Объем упаковки---0,077 куб.м.|Вес упаковки---15,7кг"
